zip,wave,tests,cases,deaths,test_positivity
92808,First Wave,1824,195,2,0.1069078947368421
92808,Winter Wave,9389,1174,13,0.12503994035573543
92808,Delta Wave,7128,681,10,0.09553872053872053
92808,Omicron Wave,5462,702,0,0.12852435005492494
92821,First Wave,4095,372,6,0.09084249084249084
92821,Winter Wave,19914,2090,56,0.10495129054936225
92821,Delta Wave,15464,1296,8,0.08380755302638386
92821,Omicron Wave,13958,1547,9,0.11083249749247744
92823,First Wave,486,30,0,0.06172839506172839
92823,Winter Wave,2550,319,4,0.12509803921568627
92823,Delta Wave,2167,130,1,0.05999077065066913
92823,Omicron Wave,2207,217,0,0.09832351608518351
92831,First Wave,4653,534,10,0.11476466795615732
92831,Winter Wave,21865,2519,34,0.11520695174937114
92831,Delta Wave,12312,1119,2,0.0908869395711501
92831,Omicron Wave,10421,1253,11,0.12023798099990404
92832,First Wave,3341,575,4,0.17210416043100868
92832,Winter Wave,16831,2404,42,0.1428316796387618
92832,Delta Wave,10005,891,6,0.08905547226386806
92832,Omicron Wave,8076,1010,5,0.12506191183754334
92833,First Wave,5576,668,8,0.11979913916786226
92833,Winter Wave,27785,3655,60,0.13154579809249595
92833,Delta Wave,18083,1477,16,0.08167892495714207
92833,Omicron Wave,15701,1641,12,0.10451563594675499
92835,First Wave,3654,249,11,0.06814449917898194
92835,Winter Wave,16697,1386,52,0.08300892375875905
92835,Delta Wave,10591,705,14,0.06656595222358606
92835,Omicron Wave,8790,825,1,0.09385665529010238
92840,First Wave,6160,827,12,0.13425324675324676
92840,Winter Wave,33384,5117,78,0.15327701893122453
92840,Delta Wave,15707,1384,14,0.08811357993251416
92840,Omicron Wave,14025,1643,10,0.11714795008912655
92841,First Wave,3291,404,7,0.12275903980553024
92841,Winter Wave,18455,2870,63,0.15551341099972907
92841,Delta Wave,8697,757,2,0.08704150856617224
92841,Omicron Wave,8669,1079,3,0.12446648979121006
92843,First Wave,4963,763,22,0.153737658674189
92843,Winter Wave,25200,4431,78,0.17583333333333334
92843,Delta Wave,12844,1009,8,0.07855808159451884
92843,Omicron Wave,10903,1360,14,0.12473631110703476
92844,First Wave,1908,245,4,0.12840670859538783
92844,Winter Wave,11818,1915,23,0.16204095447622271
92844,Delta Wave,5438,468,2,0.08606105185730048
92844,Omicron Wave,5153,617,2,0.11973607607219096
92845,First Wave,1305,104,2,0.07969348659003832
92845,Winter Wave,8370,936,10,0.11182795698924732
92845,Delta Wave,5659,574,4,0.10143134829475173
92845,Omicron Wave,4020,470,2,0.11691542288557213
92861,First Wave,416,38,2,0.09134615384615384
92861,Winter Wave,1969,244,3,0.12392077196546471
92861,Delta Wave,1749,155,0,0.08862206975414523
92861,Omicron Wave,1278,180,0,0.14084507042253522
92865,First Wave,1777,262,3,0.14743950478334272
92865,Winter Wave,9737,1640,26,0.1684297011399815
92865,Delta Wave,5979,530,8,0.08864358588392708
92865,Omicron Wave,5297,672,8,0.12686426279025864
92866,First Wave,1455,202,0,0.13883161512027492
92866,Winter Wave,7567,958,13,0.12660235231928108
92866,Delta Wave,4189,460,4,0.10981141083790881
92866,Omicron Wave,3991,454,4,0.11375595088950138
92867,First Wave,3510,495,5,0.14102564102564102
92867,Winter Wave,18173,2756,40,0.15165355197270677
92867,Delta Wave,12050,1123,18,0.09319502074688797
92867,Omicron Wave,9561,1296,3,0.13555067461562598
92868,First Wave,4188,526,14,0.1255969436485196
92868,Winter Wave,26141,2839,51,0.10860334340690869
92868,Delta Wave,13175,691,4,0.05244781783681214
92868,Omicron Wave,9400,904,5,0.09617021276595744
92869,First Wave,3308,476,6,0.14389359129383314
92869,Winter Wave,16551,2468,44,0.14911485710833183
92869,Delta Wave,11319,1019,10,0.09002562063786554
92869,Omicron Wave,8604,1164,9,0.13528591352859135
92870,First Wave,5606,830,10,0.148055654655726
92870,Winter Wave,26599,3714,52,0.1396293093725328
92870,Delta Wave,17125,1653,8,0.09652554744525547
92870,Omicron Wave,15599,1977,11,0.12673889351881532
92886,First Wave,4562,387,5,0.08483121437965804
92886,Winter Wave,22111,2762,47,0.12491520057889738
92886,Delta Wave,18362,1791,14,0.09753839451040192
92886,Omicron Wave,15616,2130,7,0.1363985655737705
92887,First Wave,1797,166,3,0.09237618252643294
92887,Winter Wave,8500,1068,7,0.12564705882352942
92887,Delta Wave,6887,692,0,0.10047916364164368
92887,Omicron Wave,6090,781,4,0.12824302134646962
